SpeciesName,month,year,stateProvince,decimalLatitude,decimalLongitude
Sandpiper,12,2016,Victoria,-38.4289,144.181
Sandpiper,9,2005,Victoria,-38.6568,145.8089
Sandpiper,9,1976,Victoria,-38.3318,145.5013
Sandpiper,1,1993,Victoria,-37.7752,148.5166
Sandpiper,12,1991,Victoria,-38.2068,145.3763
Sandpiper,12,1981,Victoria,-38.2485,144.5846
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,9,1978,Victoria,-38.0818,141.0847
Sandpiper,3,2007,Victoria,-38.3166,142.0638
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,12,1974,Victoria,-38.3151,145.2013
Sandpiper,1,1977,Victoria,-38.6234,146.6263
Sandpiper,3,1974,Victoria,-38.2068,145.3763
Sandpiper,12,2008,Victoria,-38.5061,145.158
Sandpiper,3,1992,Victoria,-38.3878,142.2409
Sandpiper,3,2017,Victoria,-37.8644,144.9658
Sandpiper,3,2007,Victoria,-37.7825,144.9408
Sandpiper,12,1978,Victoria,-36.7485,144.2513
Sandpiper,3,1980,Victoria,-38.2485,144.5846
Sandpiper,9,2018,Victoria,-38.3788,142.2394
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,12,1991,Victoria,-38.0482,147.4634
Sandpiper,12,1962,Victoria,-38.1318,141.1013
Sandpiper,12,2003,Victoria,-37.848,147.8145
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,3,1989,Victoria,-36.7106,144.2645
Sandpiper,12,1981,Victoria,-38.2485,144.5846
Sandpiper,12,2018,Victoria,-38.3788,142.2394
Sandpiper,4,1984,Victoria,-34.3568,142.0263
Sandpiper,12,2017,Victoria,-38.3819,142.2311
Sandpiper,9,2006,Victoria,-37.8297,144.898
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,9,1975,Victoria,-38.5151,145.3513
Sandpiper,12,2017,Victoria,-38.3889,142.2423
Sandpiper,12,2007,Victoria,-38.0666,145.1666
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,1,1999,Victoria,-38.0638,145.1768
Sandpiper,9,2000,Victoria,-37.7813,149.3092
Sandpiper,3,2007,Victoria,-38.5,145.15
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,3,2001,Victoria,-38.6336,145.7506
Sandpiper,12,1991,Victoria,-38.2151,145.3179
Sandpiper,3,1981,Victoria,-38.2485,144.5846
Sandpiper,3,2019,Victoria,-37.8563,144.853
Sandpiper,1,1980,Victoria,-38.2485,144.7513
Sandpiper,12,2018,Victoria,-38.3819,142.2311
Sandpiper,1,1985,Victoria,-35.5901,143.7763
Sandpiper,9,1977,Victoria,-38.0818,141.0847
Sandpiper,12,1985,Victoria,-36.6846,144.3102
Sandpiper,12,1979,Victoria,-38.2485,144.418
Sandpiper,9,2014,Victoria,-38.3002,144.3743
Sandpiper,6,2018,Victoria,-37.7999,148.7414
Sandpiper,4,1978,Victoria,-38.2485,144.7513
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,4,1999,Victoria,-38.3532,141.6017
Sandpiper,9,2017,Victoria,-38.6724,145.7986
Sandpiper,3,1980,Victoria,-38.2485,144.5846
Sandpiper,3,1988,Victoria,-38.1515,144.4226
Sandpiper,12,2007,Victoria,-38.0666,145.1666
Sandpiper,9,1993,Victoria,-37.8276,144.902
Sandpiper,4,1972,Victoria,-38.2177,145.3511
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,10,1999,Victoria,-38.3532,141.6017
Sandpiper,9,2017,Victoria,-38.464,145.3026
Sandpiper,12,1999,Victoria,-38.6479,143.0853
Sandpiper,3,1995,Victoria,-38.1523,144.4214
Sandpiper,6,1978,Victoria,-38.4526,145.5782
Sandpiper,3,2001,Victoria,-38.0645,145.1688
Sandpiper,10,2016,Victoria,-38.5959,143.9191
Sandpiper,9,2018,Victoria,-38.3889,142.2423
Sandpiper,12,1980,Victoria,-37.9151,144.7513
Sandpiper,3,1974,Victoria,-38.2734,145.3263
Sandpiper,1,1977,Victoria,-37.6651,150.0012
Sandpiper,9,1979,Victoria,-38.2234,145.3096
Sandpiper,9,1980,Victoria,-38.2485,144.7513
Sandpiper,9,1990,Victoria,-38.2621,144.6701
Sandpiper,7,1975,Victoria,-37.9984,145.1679
Sandpiper,9,2004,Victoria,-38.6568,145.8089
Sandpiper,10,1981,Victoria,-38.3068,145.3096
Sandpiper,12,1991,Victoria,-38.0391,147.4633
Sandpiper,10,1988,Victoria,-37.8257,144.8975
Sandpiper,1,1974,Victoria,-38.4985,142.5013
Sandpiper,12,1986,Victoria,-38.2068,145.3763
Sandpiper,12,2018,Victoria,-38.3889,142.2423
Sandpiper,9,1983,Victoria,-38.3922,145.3919
Sandpiper,12,1978,Victoria,-38.5151,145.3513
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,,,Victoria,-38.4151,144.0846
Sandpiper,3,2017,Victoria,-37.5573,145.1372
Sandpiper,12,1990,Victoria,-38.2068,145.3763
Sandpiper,12,1976,Victoria,-38.3818,145.2013
Sandpiper,4,1981,Victoria,-38.2485,144.5846
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,12,1999,Victoria,-38.0645,145.1688
Sandpiper,12,1978,Victoria,-38.5151,145.3513
Sandpiper,3,2018,Victoria,-37.5573,145.1372
Sandpiper,10,1999,Victoria,-38.0537,141.011
Sandpiper,12,2018,Victoria,-38.3125,145.1905
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,10,2012,Victoria,-37.62,142.856
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,1,1999,Victoria,-38.3532,141.6017
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,12,1978,Victoria,-38.2902,141.793
Sandpiper,10,2018,Victoria,-38.4882,145.4352
Sandpiper,12,1980,Victoria,-38.0818,141.0847
Sandpiper,3,2004,Victoria,-38.6568,145.8089
Sandpiper,9,2018,Victoria,-38.3819,142.2311
Sandpiper,3,2019,Victoria,-37.5573,145.1372
Sandpiper,10,1981,Victoria,-37.9151,144.9179
Sandpiper,9,2001,Victoria,-38.2656,144.4928
Sandpiper,1,1967,Victoria,-38.6651,143.0513
Sandpiper,4,2017,Victoria,-35.6742,143.7298
Sandpiper,3,1982,New South Wales,-34.1676,142.0814
Sandpiper,,,Victoria,-38.4151,144.0846
Sandpiper,,,Victoria,-37.9985,144.7513
Sandpiper,3,2018,Victoria,-37.5573,145.1372
Sandpiper,9,2017,Victoria,-38.5758,145.5109
Sandpiper,9,1980,Victoria,-38.0818,144.5846
Sandpiper,1,2017,Victoria,-37.9979,144.5917
Sandpiper,1,1980,Victoria,-38.2353,145.3165
Sandpiper,12,2017,Victoria,-38.0493,141.006
Sandpiper,9,1974,Victoria,-38.4151,145.4346
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,3,1977,Victoria,-38.4152,142.0847
